연번,호선,한글,한자,영문,중국어,일본어
211,6호선,석계,石溪,Seokgye,石溪,ソッケ
212,6호선,태릉입구,泰陵入口,Taereung,泰陵,テルンイック
213,6호선,화랑대 (서울여대입구),花郞臺(서울女大入口),Hwarangdae(Seoul Women's Univ.),花郞台(首尔女子大学),ファランデ
214,6호선,봉화산(서울의료원),烽火山(서울醫療院),Bonghwasan(Seoul Medical Center),烽火山(首尔医疗院),ポンファサン
215,6호선,신내,新內,Sinnae,新內,シンネ
216,7호선,장암,長岩,Jangam,长岩,チャンアム
217,7호선,도봉산,道峰山,Dobongsan,道峰山,トボンサン
218,7호선,수락산,水落山,Suraksan,水落山,スラッサン
219,7호선,마들,마들,Madeul,马得,マドゥル
220,7호선,노원,蘆原,Nowon,芦原,ノウォン
221,7호선,중계,中溪,Junggye,中溪,チュンゲ
222,7호선,하계,下 溪,Hagye,下溪,ハゲ
223,7호선,공릉(서울과학기술대),孔陵(서울産業大入口),Gongneung(Seoul National Univ. of Science & Technology),孔陵(首尔科学技术大学),コンヌン
224,7호선,태릉입구,泰陵入口,Taereung,泰陵,テルンイック
225,7호선,먹골,먹골,Meokgol,墨谷,モッコル
226,7호선,중화,中和,Junghwa,中和,チュンファ
227,7호선,상봉,上鳳,Sangbong,上凤,サンボン  
228,7호선,면목,面牧,Myeonmok,面牧,ミョンモク
229,7호선,사가정,四佳亭,Sagajeong,四佳亭,サガジョン
230,7호선,용마산(용마폭포공원),龍馬山(龍馬瀑布公園),Yongmasan(Yongma Falls Park),龙马山(龙马瀑布公園),ヨンマサン(ヨンマポクポ公園)
231,7호선,중곡,中谷,Junggok,中谷,チュンゴク
232,7호선,군자(능동),君子(陵洞),Gunja(Neungdong),君子(陵洞),クンジャ
233,7호선,어린이대공원(세종대),어린이大公園(世宗大),Children's Grand Park(Sejong Univ.),儿童大公园(世宗大学),オリニ・テゴンウォン
234,7호선,건대입구,建大入口,Konkuk Univ.,建国大学,コンデイック
235,7호선,자양(뚝섬한강공원),紫陽(뚝섬漢江公園),Jayang (Ttukseom Hangang Park),紫阳(纛岛汉江公园),チャヤン(トゥクソム ハンガン(漢江)公園)
236,7호선,청담,淸潭,Cheongdam,清潭,チョンダム
237,7호선,강남구청,江南區廳,Gangnamgu Office,江南区厅,カンナムグチョン
238,7호선,학동,鶴洞,Hakdong,鹤洞,ハクトン
239,7호선,논현,論峴,Nonhyeon,论岘,ノンヒョン
240,7호선,반포,盤浦,Banpo,盘浦,パンポ
241,7호선,고속터미널,高速터미널,Express Bus Terminal,高速巴士客运站,コソクターミナル
242,7호선,내방,內方,Naebang,內方,ネバン
243,7호선,이수,梨水,Isu,梨水,イス
244,7호선,남성,南城,Namseong,南城,ナムソン
245,7호선,숭실대입구(살피재),崇實大入口(살피재),Soongsil Univ.(Salpijae),崇实大学(赛毗岭),スンシルデイック
246,7호선,상도,上道,Sangdo,上道,サンド
247,7호선,장승배기,장승배기,Jangseungbaegi,长丞拜基,チャンスンベギ
248,7호선,신대방삼거리,新大方삼거리,Sindaebangsamgeori,新大方丁字路口,シンデバンサムゴリ
